"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","E"
13101000100,13101,"1","えどじょうあと","江戸城跡","千代田区 千代田　 皇居外苑　 北の丸公園","[近世]","城館","[近世]建物礎石　敷石遺構　囲状遺構　土留遺構　石組溝　暗渠　城門　城橋　天守台　櫓堀　石塁　石垣　地下室　井戸　上下水道","縄文土器　弥生土器　土師器　陶磁器　瓦　金属製品　木製品　鉄釘　火箸　簪　笄　チャコ　銭貨",139.757489,35.68619003,TRUE
13101001000,13101,"10","ながたちょうにちょうめいせき","永田町二丁目遺跡","千代田区 永田町二丁目","[縄文時代（後期）][弥生時代（中期）][近世]","包蔵地・集落・貝塚・屋敷","[弥生時代]住居跡　土坑　環壕　溝　[近世]土坑　井戸　溝　建物址","石器　弥生土器　陶磁器類　金属　木製品　瓦",139.7438231,35.67281761,TRUE
13101001200,13101,"12","","千代田区No.12遺跡","千代田区 神田神保町一丁目","[縄文時代][近世]","貝塚　その他（上水道）","竹樋","縄文土器　陶磁器",139.7591696,35.69663226,TRUE
13101001500,13101,"15","","千代田区No.15遺跡","千代田区 麹町三丁目","[近世]","上水道","[近世]上水木樋　石桝","",139.73814,35.68414911,TRUE
13101001600,13101,"16","","千代田区No.16遺跡","千代田区 神田駿河台四丁目","[近世]","包蔵地","","陶磁器　銅製高麗犬",139.7650405,35.69900219,TRUE
13101001700,13101,"17","","千代田区No.17遺跡","千代田区 内幸町二丁目","[近世]","包蔵地・上水路跡","[近世]木樋","陶磁器　煙管　箸　下駄　人形",139.7551184,35.6704748,TRUE
13101001800,13101,"18","","千代田区No.18遺跡","千代田区 神田富山町","[近世]","包蔵地","","銭貨",139.7730602,35.6933313,TRUE
13101001900,13101,"19","ひえじんじゃけいだいいせき","日枝神社境内遺跡","千代田区 永田町二丁目","[近世]","包蔵地","","陶磁器　ホウロク　手焙り土器　瓦　石製品　土製人形　銭貨",139.7393599,35.67535557,TRUE
13101002000,13101,"20","とりつひとつばしこうこうないいせき","都立一橋高校内遺跡","千代田区 東神田一丁目","[近世]","社寺・集落","[近世]建物基礎　井戸　下水道　墓壙","陶磁器　土製品　石製品　金属製品　木製品　人骨　獣骨　貝殻",139.7811283,35.69466967,TRUE
13101002100,13101,"21","がいむしょうこうないいせき","外務省構内遺跡","千代田区 霞ヶ関二丁目","[縄文時代][近世]","大名屋敷","[近世]井戸　石組溝　上水桝　石垣　溝状遺構","縄文土器　陶磁器　瓦　金属製品　木製品　動物遺体",139.7498313,35.67437944,TRUE
