"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","P","J","Y","K","N","H","M","E","U","色"
13101000200,13101,"2","きゅうほんまるにしかいづか","旧本丸西貝塚","千代田区 千代田","[縄文時代（前期～晩期）]","貝塚","","縄文土器　打斧　石鏃　有溝土錘　骨角器",139.7550845,35.6866013,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13101000800,13101,"8","うしがふちかいづか","牛ヶ淵貝塚","千代田区 九段南一丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","貝塚","","縄文土器　弥生土器　土師器",139.7510672,35.69479204,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"blue"
13101000900,13101,"9","くだんざかうえかいづか","九段坂上貝塚","千代田区 九段北一丁目","[縄文時代（中期）][弥生時代][平安時代]","貝塚","[弥生時代]V字溝　住居","縄文土器　弥生土器　土師器　須恵器",139.7491794,35.69628581,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"blue"
13101001000,13101,"10","ながたちょうにちょうめいせき","永田町二丁目遺跡","千代田区 永田町二丁目","[縄文時代（後期）][弥生時代（中期）][近世]","包蔵地・集落・貝塚・屋敷","[弥生時代]住居跡　土坑　環壕　溝　[近世]土坑　井戸　溝　建物址","石器　弥生土器　陶磁器類　金属　木製品　瓦",139.7438231,35.67281761,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"blue"
13101001200,13101,"12","","千代田区No.12遺跡","千代田区 神田神保町一丁目","[縄文時代][近世]","貝塚　その他（上水道）","竹樋","縄文土器　陶磁器",139.7591696,35.69663226,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"blue"
13101005600,13101,"56","さんばんちょういせき","三番町遺跡","千代田区 三番町","[縄文時代（前期・後期）][弥生時代（後期）][近世][近代]","集落・貝塚・屋敷","[縄文時代]貝塚　ピット　住居址　[弥生時代]ピット　住居址　[近世]土坑　溝　地下室　井戸　建物跡","縄文土器　石器（縄文）　耳飾り　弥生土器　石器（弥生）　陶磁器　瓦（近世）　石製品　金属製品（近世）",139.7464141,35.69089728,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"blue"
13103000100,13103,"1","あおやまぼちないかいづか","青山墓地内貝塚","港区 南青山二丁目","[縄文時代（早期・中期～後期）]","包蔵地・貝塚","","縄文土器　打斧　磨石",139.7195241,35.66801712,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103000200,13103,"2","","港区No.2遺跡","港区 南青山二丁目","[縄文時代][弥生時代]","包蔵地・貝塚","","縄文土器　石鏃　弥生土器",139.7220303,35.66494895,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103000300,13103,"3","","港区No.3遺跡","港区 南青山四丁目","[縄文時代]","貝塚","","",139.7170178,35.66430742,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103001800,13103,"18","にしくぼはちまんかいづか","西久保八幡貝塚","港区 虎ノ門五丁目","[縄文時代（後期）]","貝塚","","縄文土器　打斧　砥石　骨角器　獣・魚骨　陶磁器",139.7427521,35.66141948,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103002300,13103,"23","まるやまかいづか","丸山貝塚","港区 芝公園四丁目","[縄文時代（後期）]","貝塚","","縄文土器　磨斧　石匙　石錘",139.7485145,35.65458354,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103002900,13103,"29","こうようかんないかいづかいせき","紅葉館内貝塚遺跡","港区 芝公園四丁目","[縄文時代][弥生時代][古墳時代]","集落・貝塚","住居跡","縄文土器　磨斧　石鏃",139.7454246,35.65865633,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103003000,13103,"30","","港区No.30遺跡","港区 麻布台一丁目","[縄文時代（後期）]","貝塚","","縄文土器",139.7426917,35.65816862,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103004100,13103,"41","","港区No.41遺跡","港区 元麻布三丁目","[縄文時代]","貝塚","","石斧",139.7280751,35.65772341,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103004300,13103,"43","","港区No.43遺跡","港区 元麻布二丁目","[縄文時代（後期）]","包蔵地・貝塚","","縄文土器　打斧　石鏃",139.7270451,35.65443168,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103004600,13103,"46","","港区No.46遺跡","港区 元麻布一丁目","[縄文時代（中期）]","貝塚","","磨斧",139.7326756,35.65346924,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103005100,13103,"51","ほんむらちょうかいづかいせき","本村町貝塚","港区 南麻布三丁目","[縄文時代（前期）]","貝塚","","縄文土器　魚骨",139.7295685,35.64860108,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13103006000,13103,"60","いさらごかいづかいせき","伊皿子貝塚遺跡","港区 三田四丁目","[縄文時代（後期）][弥生時代][古墳時代][平安時代][近世]","集落・貝塚・社寺","[縄文時代]住居　土坑　[弥生時代]方形周溝墓　[古墳時代]住居　[平安時代]住居 [近世]礎石　溝状遺構　石垣","縄文土器　弥生土器　土師器　土製品　石製品　貝製品　牛骨　魚骨　陶磁器",139.739954,35.64150056,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"blue"
13103007000,13103,"70","きゅうかいぐんぼちかいづか","旧海軍基地貝塚","港区 白金台一丁目","[縄文時代（中期）]","貝塚","","縄文土器　打斧",139.730617,35.63866054,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
13104002000,13104,"20","わかばいっちょうめいせき","若葉一丁目遺跡","新宿区 若葉一丁目","[縄文時代][近世]","貝塚・屋敷","[近世]地下室　大型土坑　土坑　小穴","磁器　陶器　せっ器　土器　瓦　土製品　金属製品　ガラス製品　石製品",139.7274147,35.68253764,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"blue"
13105000300,13105,"3","おおつかさんちょうめいせき","大塚三丁目遺跡","文京区 大塚三丁目","[縄文時代][古墳時代][中世][近世]","包蔵地・貝塚?・屋敷・その他（村）","[縄文時代]土坑　[中世]溝　[近世]地下室　井戸　土坑　柱穴列　礎石列など","（縄文）土器・石器　（古墳）土師器・須恵器　（中世）せっ器・土製品・板碑　（近世）陶磁器・せっ器・土器・土製品・瓦・金属製品・石製品など",139.7373743,35.7204176,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"blue"
13105000800,13105,"8","","文京区No.8遺跡","文京区 小日向四丁目","[縄文時代]","貝塚","","",139.7390566,35.71556745,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"blue"
