"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","K"
13101000800,13101,"8","うしがふちかいづか","牛ヶ淵貝塚","千代田区 九段南一丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","貝塚","","縄文土器　弥生土器　土師器",139.7510672,35.69479204,TRUE
13101002200,13101,"22","とうきょうこくりつきんだいびじゅつかんいせき","東京国立近代美術館遺跡","千代田区 北の丸公園","[旧石器時代][縄文時代（早期〜後期）][弥生時代][古墳時代][中世][近世]","集落・城館","[旧石器時代]礫群　[縄文時代][弥生時代][古墳時代]住居　[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　[近世]井戸　石組遺構","縄文土器　弥生土器　土製勾玉　土師器　須恵器　砥石　土錘　石製カ帯　石製模造品　陶磁器　カワラケ　瓦　鉄鏃　板碑　ガラス製品　焼塩壺　銭貨",139.754735,35.69037522,TRUE
13101004100,13101,"41","ひらかわちょういせき","平河町遺跡","千代田区 平河町二丁目","[縄文時代][弥生時代][古墳時代][中世][近世]","包蔵地","[中世]地下式土坑","陶磁器",139.7401839,35.67928786,TRUE
13101006000,13101,"60","いいだまちいせき","飯田町遺跡","千代田区 飯田町二丁目　 飯田町三丁目","[縄文時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","[近世]屋敷境　地下室　土坑　上水道　石組溝　井戸　庭園","縄文土器　土師器　須恵器　陶磁器　瓦　砥石　硯　漆器　下駄　曲物",139.7498656,35.70120476,TRUE
13101006600,13101,"66","とうきょうえきやえすきたぐちいせき","東京駅八重洲北口遺跡","千代田区 丸の内一丁目","[古墳時代][近世]","包蔵地・屋敷","[近世]建物　石組溝　上水木桶　外堀石垣","陶磁器　瓦　ガラス製品　食器等",139.7696475,35.68278802,TRUE
13102007700,13102,"77","こでんまちょうろうやしきあといせき","小伝馬町牢屋敷跡遺跡","中央区 日本橋小伝馬町","[縄文時代(中期〜晩期)][弥生時代(後期)][古墳時代][奈良時代][平安時代][中世][近世]","屋敷","[近世]土坑　礎石　道路状遺構　建物址　建物基礎　石積・石組　埋桝　石組下水　植栽痕　上水桝　上水木樋　竹","陶磁器　木製品　人骨　瓦類　金属製品　土製品　木製品　銭貨　石製品　骨角貝製品　ガラス製品　動植物遺体　縄文土器　土師器（古墳時代、奈良時代　平安時代）　中世土器・陶器　他",139.7774141,35.6911266,TRUE
13103000500,13103,"5","あかさかごようちないいせき","赤坂御用地内遺跡","港区 元赤坂二丁目","[縄文時代][弥生時代][古墳時代]","包蔵地","","縄文土器　弥生土器　土錘　土師器　黒曜石剥片",139.7275235,35.67749979,TRUE
13103000800,13103,"8","","港区No.8遺跡","港区 赤坂六丁目","[古墳時代]","古墳","","須恵器　刀　管玉",139.7354352,35.66837971,TRUE
13103000900,13103,"9","ながとはぎはんもうりけやしきあといせき","長門萩藩毛利家屋敷跡遺跡","港区 赤坂九丁目","[旧石器時代][縄文時代][古墳時代][近世]","集落・屋敷（大名）","[縄文時代]土坑　[古墳時代]住居　[近世]井戸　土坑　溝","縄文土器　土師器　陶磁器　石器　瓦",139.7304227,35.66606467,TRUE
13103002400,13103,"24","まるやまこふん","丸山古墳","港区 芝公園四丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、都指定史跡芝丸山古墳となっています。 　 前方後円墳","鉄鏃　円筒埴輪　馬歯",139.7479137,35.65494619,TRUE
