"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","P","J","Y","K","N","H","M","E","U","色"
13103000800,13103,"8","","港区No.8遺跡","港区 赤坂六丁目","[古墳時代]","古墳","","須恵器　刀　管玉",139.7354352,35.66837971,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002400,13103,"24","まるやまこふん","丸山古墳","港区 芝公園四丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、都指定史跡芝丸山古墳となっています。 　 前方後円墳","鉄鏃　円筒埴輪　馬歯",139.7479137,35.65494619,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002500,13103,"25","まるやまこふんぐん","丸山古墳群","港区 芝公園四丁目","[古墳時代]","古墳","","",139.7474845,35.65553201,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002501,13103,"25-1","まるやまこふんぐん　いちごうふん","丸山古墳群　1号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","土師器　須恵器　鉄鏃　鹿角製刀子　刀子　管玉　棗玉　ガラス小玉　大刀　直刀　金環　人骨",139.7474502,35.65461143,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002502,13103,"25-2","まるやまこふんぐん　にごうふん","丸山古墳群　2号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳","",139.7468494,35.6548625,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002503,13103,"25-3","まるやまこふんぐん　さんごうふん","丸山古墳群　3号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳","",139.7466262,35.65519726,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002504,13103,"25-4","まるやまこふんぐん　よんごうふん","丸山古墳群　4号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]竪穴式石室?","円筒埴輪　人骨",139.7464889,35.65565755,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002505,13103,"25-5","まるやまこふんぐん　ごごうふん","丸山古墳群　5号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","須恵器　鉄鏃　刀子　埴輪　玉類　直刀　馬具　人骨",139.7465232,35.65610388,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002506,13103,"25-6","まるやまこふんぐん　ろくごうふん","丸山古墳群　6号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","須恵器　鉄鏃　管玉　直刀　銅環　鉄環　人骨",139.7468494,35.65646653,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002507,13103,"25-7","まるやまこふんぐん　ななごうふん","丸山古墳群　7号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","鉄鏃　人物埴輪　直刀　銅環　人骨",139.7473129,35.6563131,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002508,13103,"25-8","まるやまこふんぐん　はちごうふん","丸山古墳群　8号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","須恵器　埴輪　玉類　刀　槍　人骨",139.7477249,35.65645258,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002509,13103,"25-9","まるやまこふんぐん　きゅうごうふん","丸山古墳群　9号墳","港区 芝公園四丁目","[古墳時代]","古墳","円墳　[古墳時代]横穴式石室","土師器　須恵器　鉄鏃　埴輪　玉類　直刀　銅釧　人骨",139.748051,35.65628521,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103002600,13103,"26","","港区No.26遺跡","港区 芝公園四丁目","[古墳時代]","古墳","","",139.7473472,35.65747078,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103003300,13103,"33","","港区No.33遺跡","港区 麻布台一丁目","[古墳時代]","古墳？","円墳","",139.7406146,35.66122309,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103003600,13103,"36","","港区No.36遺跡","港区 六本木六丁目","[古墳時代]","古墳","円墳","",139.7316628,35.66153105,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103004900,13103,"49","","港区No.49遺跡","港区 南麻布五丁目","[古墳時代]","古墳","前方後円墳?","",139.724762,35.65140484,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103005400,13103,"54","ねこづか（おせんちやま）いせき","猫塚（オセンチ山）遺跡","港区 三田一丁目","[古墳時代]","古墳","円墳","",139.7432998,35.65271046,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103005700,13103,"57","かめづかいせき","亀塚遺跡","港区 三田四丁目","[古墳時代]","古墳","※遺跡範囲のすべてが、都指定史跡亀塚となっています。 円墳","土師器　須恵器",139.740881,35.64355127,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13103006100,13103,"61","","港区No.61遺跡","港区 三田三丁目","[古墳時代]","古墳？","","石棺?",139.7409325,35.64282586,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13105000200,13105,"2","おおつかこふん","大塚古墳","文京区 大塚一丁目","[古墳時代？]","古墳","円墳?","",139.7344217,35.71637583,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13105001300,13105,"13","あけぼのちょうこふん","曙町古墳","文京区 本駒込一丁目","[古墳時代？]","古墳","円墳","",139.7523089,35.72384597,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13105001500,13105,"15","ふじじんじゃこふん","富士神社古墳","文京区 本駒込五丁目","[古墳時代]","古墳","前方後円墳？","土師器　埴輪",139.7512446,35.73117605,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13105002000,13105,"20","ごてんまちこふん","御殿町古墳","文京区 白山二丁目","[古墳時代]","古墳","円墳?","",139.7484636,35.71782531,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13105002300,13105,"23","はくさんじんじゃこふん","白山神社古墳","文京区 白山五丁目","[古墳時代]","古墳","円墳？","",139.7505067,35.72222407,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13105003700,13105,"37","つばきやまこふん","椿山古墳","文京区 本郷七丁目","[古墳時代]","古墳","","切石",139.7611666,35.71038249,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13106000300,13106,"3","すりばちやまこふん","摺鉢山古墳","台東区 上野公園","[古墳時代]","古墳","前方後円墳　近世瓦溜　土杭","古代土器・近世瓦・陶磁器",139.7738078,35.7139363,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13106000500,13106,"5","","台東区No.5遺跡","台東区 上野公園","[古墳時代]","古墳","","鉄鏃　鉄刀身　鉄鐔",139.7754214,35.7186193,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13106000900,13106,"9","とりごえこふん","鳥越古墳","台東区 鳥越二丁目","[古墳時代]","古墳","","土師器　管玉　匂玉　蕨手大刀　銀環",139.7875929,35.70195662,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13106001300,13106,"13","へびづかこふん","蛇塚古墳","台東区 上野公園","[古墳時代]","古墳","","",139.7739747,35.71767561,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13106001400,13106,"14","おううんだいこふん","桜雲台古墳","台東区 上野公園","[古墳時代]","古墳","","埴輪",139.7756398,35.71442817,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13109001800,13109,"18","","品川区No.18遺跡","品川区 南品川五丁目","[古墳時代]","古墳","","須恵器　円筒埴輪　人物埴輪",139.7416467,35.60782891,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13109001900,13109,"19","おおいはやしちょうこふん","大井林町古墳","品川区 東大井四丁目","[古墳時代]","古墳","円墳","",139.7411009,35.60679337,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13109002000,13109,"20","おおいこうえんないこふん","大井公園内古墳","品川区 東大井四丁目","[古墳時代]","古墳","円墳","円筒埴輪",139.7409449,35.60532457,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13110001800,13110,"18","おおつかやまこふん","大塚山古墳","目黒区 目黒四丁目","[古墳時代]","古墳","円墳","",139.701523,35.632854,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13110002500,13110,"25","きつねづかこふん","狐塚古墳","目黒区 碑文谷二丁目","[古墳時代]","古墳","方墳?","",139.6888711,35.62368702,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
13111000200,13111,"2","せんげんじんじゃこふん","浅間神社古墳","大田区 田園調布一丁目","[縄文時代][弥生時代（後期）][古墳時代]","古墳・集落","前方後円墳　[縄文時代]炉穴　[弥生時代]住居　炉　柱穴","縄文土器　打斧　剥片　弥生土器　土師器　円筒埴輪　人物埴輪　動物埴輪",139.6687695,35.58743962,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"green"
