"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","P"
13101002200,13101,"22","とうきょうこくりつきんだいびじゅつかんいせき","東京国立近代美術館遺跡","千代田区 北の丸公園","[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][中世][近世]","集落・城館","[旧石器時代]礫群　[縄文時代][弥生時代][古墳時代]住居　[中世]井戸　土坑群　地下式土坑　溝状遺構　堀　[近世]井戸　石組遺構","縄文土器　弥生土器　土製勾玉　土師器　須恵器　砥石　土錘　石製カ帯　石製模造品　陶磁器　カワラケ　瓦　鉄鏃　板碑　ガラス製品　焼塩壺　銭貨",139.754735,35.69037522,TRUE
13101004200,13101,"42","きおいちょういせき","紀尾井町遺跡","千代田区 紀尾井町","[旧石器時代][縄文時代（早期・中期～後期）][弥生時代（後期）][中世][近世][近代]","包蔵地・集落・屋敷","土坑　盛土　土手　石組溝　土坑　埋桶　柱穴　石垣遺構（紀州和歌山藩屋敷関係）　石垣　溝","縄文土器　弥生土器　陶磁器　瓦　金属製品　泥人形　間知石　石製品",139.7371627,35.68084957,TRUE
13103000900,13103,"9","ながとはぎはんもうりけやしきあといせき","長門萩藩毛利家屋敷跡遺跡","港区 赤坂九丁目","[旧石器時代][縄文時代][古墳時代][近世]","集落・屋敷（大名）","[縄文時代]土坑　[古墳時代]住居　[近世]井戸　土坑　溝","縄文土器　土師器　陶磁器　石器　瓦",139.7304227,35.66606467,TRUE
13103006900,13103,"69","きゅうしろがねごりょうちないぶけやしきあといせき","旧白金御料地内武家屋敷跡遺跡","港区 白金台五丁目","[旧石器時代][縄文時代][弥生時代][近世]","包蔵地　武家屋敷","[旧石器時代]礫群[近世]建物　礎石　土坑　地下室　ピット群　土坑　井戸　溝　溝状遺構　土壙墓　石組","[旧石器時代]剥片[縄文時代]縄文土器[弥生時代]弥生土器[近世]陶磁器　土器　土製品　瓦　石製品　金属製品　木製品　ガラス製品　骨製品　玩具　銭貨　動植物遺体",139.719772,35.639008,TRUE
13103007500,13103,"75","みただいまちいせき","三田台町遺跡","港区 三田四丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代]","集落","[弥生時代]?　住居　[古墳時代]住居","石器　縄文土器　弥生土器　土師器　須恵器",139.7391129,35.64187723,TRUE
13104000200,13104,"2","おちあいいせき","落合遺跡","新宿区 中落合四丁目　 中井一丁目　 中井二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・屋敷","[旧石器時代]礫群　[縄文時代]竪穴住居　土坑　炉跡　集石　土器焼成坑　ピット　[弥生時代]竪穴住居　掘立柱建物跡　方形周溝墓　[古墳時代]住居　[奈良時代][平安時代]掘立柱建物　竪穴住居跡　土坑　[近世]杭列　焼土　溝状遺構　ピット　[時期不明]建物　住居　ピット　溝","石器　ナイフ形石器　石核　剥片　砕片　縄文土器　打斧　石槍　石鏃　石核　弥生土器　石包丁　土師器　須恵器　鉄製品　陶磁器　刀子　砥石　坏",139.6805457,35.71627471,TRUE
13104001000,13104,"10","とやまがはらうえのだいいせき","戸山ヶ原上ノ台遺跡","新宿区 百人町四丁目　 北新宿四丁目","[旧石器時代][縄文時代（中期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]","包蔵地・集落","[旧石器時代]集中地点　[縄文時代]竪穴住居跡　土坑　炉穴　集石　ピット　[古墳時代]竪穴住居跡　住居跡　ピット　[近世]土坑　ピット","ナイフ形石器　角錐状石器　リタッチドフレイク　フレイク　チップ　縄文土器　土偶　土製垂飾品　石器　弥生土器　土師器　　灰釉陶器　鉄器　陶磁器類　煙草吸口　銭貨　笄　ガラス瓶類",139.6947029,35.70849936,TRUE
13104001500,13104,"15","いちがやこうらちょういせき","市谷甲良町遺跡","新宿区 市谷山伏町 市谷甲良町 二十騎町","[旧石器時代][縄文時代（前期～後期）][近世]","包蔵地・集落・屋敷","[縄文時代]住居跡 竪穴状遺構 屋外埋甕 遺構集中部 土坑 柱穴 小穴 [近世]地下室 土坑 井戸 井戸状遺構 植栽痕 溝状遺構 土取穴 胞衣処理施設 小穴 ピット 建物跡 土取り穴 礎石 硬化面 [近代以降]建物基礎","縄文土器 石器 土製品 磁器 陶器 せっ器 土器 瓦 土製品 金属製品 木製品 骨角製品 ガラス製品 石製品",139.7282492,35.69941572,TRUE
13104002700,13104,"27","あらきちょういせき","荒木町遺跡","新宿区 荒木町","[旧石器時代][縄文時代（中期）][近世]","包蔵地・屋敷","[旧石器時代]礫群 [近世]ピット 廃棄土坑 土坑 地下室 半地下室 井戸","[縄文時代]土器 [近世]磁器 陶器 せっ器 土器 瓦 土製品 金属製品 石製品 ガラス製品 骨製品 錆釉セミ形掛花生 染付唐草文三島手掛分花生 壷屋焼の擂鉢片 クレイパイプ片 木札 [旧石器時代]ナイフ形石器 石核",139.7235352,35.68920231,TRUE
13104003500,13104,"35","みょうしょうじがわNo.1いせき","妙正寺川No.1遺跡","新宿区 西落合二丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地","[旧石器時代]礫群　[縄文時代]土坑　[近世]水田址　井戸状遺構","材　縄文土器　石器　木製品　弥生土器　陶器　磁器　埴輪　土製品　石製品　金属製品　土師器",139.6748036,35.72067884,TRUE
