"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","U"
13110002600,13110,"26","さんごうづか","三合塚","目黒区 南一丁目","[時期不明]","その他（塚群）","","",139.6881545,35.61344615,TRUE
13111018400,13111,"184","おうもりいなりかいづか","王森稲荷貝塚","大田区 大森東一丁目","[時代不明]","貝塚","","",139.735505,35.57645732,TRUE
13111019200,13111,"192","うのきおくしまてんじんのもりいせき","鵜ノ木奥島天神の森遺跡","大田区 西蒲田一丁目","[時代不明]","墳墓","","",139.7113104,35.57090525,TRUE
13111019300,13111,"193","ほしやみょうじんづか","星谷明神塚","大田区 西蒲田五丁目","[時代不明]","墳墓","","",139.7136922,35.56722246,TRUE
13111019400,13111,"194","むらやまみょうじんづか","村山明神塚","大田区 西蒲田五丁目","[時代不明]","墳墓","","",139.7159238,35.56676864,TRUE
13111019500,13111,"195","はくさんみょうじんづか","白山明神塚","大田区 西蒲田五丁目","[時代不明]","墳墓","","",139.7155685,35.56711934,TRUE
13111019600,13111,"196","せんげんみょうじんづか","浅間明神塚","大田区 西蒲田五丁目","[時代不明]","墳墓","","",139.7142505,35.56537931,TRUE
13111019700,13111,"197","しらはたみょうじんづか","白旗明神塚","大田区 西蒲田六丁目","[時代不明]","墳墓","","",139.7119818,35.56462353,TRUE
13111019800,13111,"198","じょういみょうじんづか","承位明神塚","大田区 西蒲田六丁目","[時代不明]","墳墓","","",139.7127596,35.56458838,TRUE
13111021000,13111,"210","たかはた・しんめいづか","高畑・神明塚","大田区 西六郷二丁目","[時代不明]","墳墓","","",139.7074804,35.54842472,TRUE
13111021400,13111,"214","まちやいなりづか","町屋稲荷塚","大田区 仲六郷一丁目","[時代不明]","墳墓","","",139.714648,35.55276125,TRUE
13111021500,13111,"215","しょうぞくづか","装束塚","大田区 仲六郷一丁目","[時代不明]","墳墓","","",139.7154995,35.5523728,TRUE
13111021600,13111,"216","でむら・みょうじんやまいせき","出村・明神山遺跡","大田区 仲六郷一丁目","[時代不明]","墳墓","","",139.7175451,35.55227393,TRUE
13111021800,13111,"218","にとうづか","ニトウ塚","大田区 仲六郷四丁目","[時代不明]","墳墓","","",139.7085117,35.54381548,TRUE
13111022100,13111,"221","ぞうしき・てんじんやまいせき","雑色・天神山遺跡","大田区 南六郷二丁目","[時代不明]","墳墓","","",139.71879,35.54517731,TRUE
13111022300,13111,"223","ろくごうふるかいどうかいづか","六郷古街道貝塚","大田区 南六郷三丁目","[時代不明]","貝塚","","",139.7167944,35.54601535,TRUE
13111022800,13111,"228","おおくらとうえんないかいづか","大倉陶園内貝塚","大田区 西六郷一丁目","[時代不明]","貝塚","","",139.7108395,35.55504413,TRUE
13112009400,13112,"94","にしざんやいせき","西山谷遺跡","世田谷区 若林三丁目","[時代不明]","包蔵地","","",139.6578,35.64457,TRUE
